"CUSTOMERNO","CATEGORY","INTERESTED","SUBCATEGORY"
5685124,AdvanceProduct,Y,JewelLoan
5489073,AdvanceProduct,Y,JewelLoan
6128202,RecommendedProduct,N,LifeInsurance
4029105,AlternateIncomePro,N,GeneralInsurance
1400533,AlternateIncomePro,N,LifeInsurance
1253043,RecommendedProduct,Y,LifeInsurance
3413955,AlternateIncomePro,N,LifeInsurance
1234549,RecommendedProduct,Y,GeneralInsurance
1799006,DepositProduct,Y,FixedDeposit
5519145,AdvanceProduct,Y,OverDraftOLCC
487582,DepositProduct,Y,SB
352936,AlternateIncomeProduct,Y,HealthInsurance
1587115,DepositProduct,Y,FixedDeposit
1630029,AdvanceProduct,Y,JewelLoan
1859450,DepositProduct,N,FixedDeposit
2219795,RecommendedProduct,Y,TermLoan
1463369,AlternateIncomeProduct,Y,HealthInsurance
749714,DepositProduct,Y,RecurringDeposit
2834641,DepositProduct,Y,FixedDeposit
4497927,DepositProduct,Y,FixedDeposit
4340631,RecommendedProduct,Y,HealthInsurance
967303,AlternateIncomePro,Y,LifeInsurance
2372166,DepositProduct,Y,SB
5072925,AlternateIncomeProduct,Y,GeneralInsurance
1828714,DepositProduct,Y,FixedDeposit
1698042,AdvanceProduct,N,PersonalLoan
3469112,undefined,Y,undefined
2258384,AdvanceProduct,Y,JewelLoan
2843137,RecommendedProduct,Y,HealthInsurance
5784557,AdvanceProduct,Y,TermLoan
4037686,RecommendedProduct,Y,FixedDeposit
6087842,AdvanceProduct,Y,OverDraftOLCC
3775753,AdvanceProduct,N,TermLoan
3162661,DepositProduct,N,SB
5561108,DepositProduct,Y,RecurringDeposit
73553,DepositProduct,Y,SB
5780275,DepositProduct,Y,CA
6281549,DepositProduct,Y,SB
6100042,AdvanceProduct,N,JewelLoan
3389657,AdvanceProduct,N,JewelLoan
10168,RecommendedProduct,N,HealthInsurance
3963993,AdvanceProduct,Y,JewelLoan
3630054,AlternateIncomePro,Y,HealthInsurance
2093923,AdvanceProduct,N,JewelLoan
2519078,DepositProduct,Y,FixedDeposit
5940513,DepositProduct,Y,FixedDeposit
5480386,RecommendedProduct,N,HealthInsurance
1301633,DepositProduct,N,FixedDeposit
4282881,DepositProduct,N,CA
988449,AlternateIncomeProduct,Y,LifeInsurance
712996,AdvanceProduct,Y,OverDraftOLCC
4058339,DepositProduct,N,SB
4613512,RecommendedProduct,Y,HealthInsurance
5244335,AdvanceProduct,Y,JewelLoan
6068339,AdvanceProduct,Y,JewelLoan
143838,PaymentProduct,N,SocialMediaBanking
422095,DepositProduct,Y,FixedDeposit
5040764,AlternateIncomeProduct,Y,LifeInsurance
3094804,RecommendedProduct,N,HealthInsurance
2566307,AdvanceProduct,N,TermLoan
2567119,AlternateIncomeProduct,Y,LifeInsurance
4497888,AlternateIncomePro,N,HealthInsurance
5338671,DepositProduct,Y,SB
5505294,DepositProduct,Y,RecurringDeposit
5543662,AdvanceProduct,Y,TermLoan
6218788,AdvanceProduct,Y,JewelLoan
6240331,RecommendedProduct,Y,LifeInsurance
5910324,DepositProduct,Y,CA
5090884,AdvanceProduct,Y,OverDraftOLCC
6417467,DepositProduct,Y,FixedDeposit
5384770,AdvanceProduct,Y,JewelLoan
4490484,RecommendedProduct,Y,sbicreditcard
5605155,AlternateIncomeProduct,Y,HealthInsurance
6260825,DepositProduct,Y,SB
1306127,DepositProduct,N,CA
3646837,RecommendedProduct,N,LifeInsurance
1394698,DepositProduct,N,FixedDeposit
5542512,AdvanceProduct,Y,JewelLoan
669510,DepositProduct,Y,FixedDeposit
5731830,AlternateIncomePro,Y,LifeInsurance
2850210,DepositProduct,N,CA
4823450,RecommendedProduct,Y,HealthInsurance
2109809,RecommendedProduct,Y,LifeInsurance
305751,AdvanceProduct,N,JewelLoan
3368915,AdvanceProduct,Y,OverDraftOLCC
3256660,PaymentProduct,Y,Fastag
6089381,DigitalOtherProduct,Y,DebitCard
1688840,DepositProduct,Y,SB
5780258,DepositProduct,Y,SB
5272103,DepositProduct,Y,FixedDeposit
4509573,AdvanceProduct,Y,TermLoan
6238818,AlternateIncomePro,Y,HealthInsurance
5587905,AdvanceProduct,Y,JewelLoan
5066900,RecommendedProduct,Y,HealthInsurance
3021675,AlternateIncomePro,Y,HealthInsurance
2312766,RecommendedProduct,Y,HealthInsurance
982376,AdvanceProduct,Y,JewelLoan
981298,AlternateIncomePro,N,LifeInsurance
4085126,DepositProduct,Y,CA
5345570,DepositProduct,Y,FixedDeposit
596074,AlternateIncomePro,N,LifeInsurance
4996239,DepositProduct,Y,FixedDeposit
5584732,AdvanceProduct,Y,JewelLoan
2142173,AlternateIncomePro,N,SGB
6479286,AlternateIncomeProduct,Y,HealthInsurance
5900687,AlternateIncomeProduct,Y,Locker
2483150,RecommendedProduct,N,LifeInsurance
4925633,RecommendedProduct,Y,LifeInsurance
4341274,AdvanceProduct,Y,OverDraftOLCC
5111856,DepositProduct,Y,CA
5489726,AdvanceProduct,Y,TermLoan
5539891,AdvanceProduct,Y,JewelLoan
5490202,AdvanceProduct,Y,OverDraftOLCC
4480908,AdvanceProduct,Y,OverDraftOLCC
1016082,DigitalOtherProduc,N,NetBanking
6312389,DepositProduct,Y,RecurringDeposit
5865895,RecommendedProduct,Y,HealthInsurance
5329999,RecommendedProduct,N,HealthInsurance
5661899,DepositProduct,Y,CA
5916591,RecommendedProduct,N,LifeInsurance
5521030,RecommendedProduct,Y,LifeInsurance
4450559,RecommendedProduct,N,MutualFund
6142301,AdvanceProduct,Y,JewelLoan
4068574,AlternateIncomePro,Y,HealthInsurance
4447181,DepositProduct,Y,FixedDeposit
4509453,RecommendedProduct,Y,LifeInsurance
5129892,AlternateIncomeProduct,Y,LifeInsurance
4245833,AdvanceProduct,Y,TermLoan
5559551,RecommendedProduct,Y,HealthInsurance
736824,DepositProduct,N,FixedDeposit
6014573,AdvanceProduct,Y,JewelLoan
407431,PaymentProduct,Y,SocialMediaBanking
4711423,AdvanceProduct,Y,JewelLoan
4650301,DigitalOtherProduct,Y,AadhaarUpdated
4929338,DepositProduct,N,SB
825074,DepositProduct,N,FixedDeposit
5920800,RecommendedProduct,Y,FixedDeposit
5456880,AdvanceProduct,Y,JewelLoan
5731564,AdvanceProduct,Y,OverDraftOLCC
3473279,DepositProduct,Y,FixedDeposit
1055245,DigitalOtherProduc,Y,NetBanking
6367307,DepositProduct,Y,FixedDeposit
5439431,AdvanceProduct,Y,JewelLoan
4177966,AlternateIncomeProduct,Y,GeneralInsurance
3711386,RecommendedProduct,Y,LifeInsurance
3476125,DigitalOtherProduc,N,MobileBanking
2975476,DepositProduct,Y,SB
6218809,AdvanceProduct,Y,JewelLoan
6157537,RecommendedProduct,Y,LifeInsurance
1563391,AlternateIncomeProduct,Y,GeneralInsurance
5503559,AdvanceProduct,Y,TermLoan
944689,DepositProduct,Y,SB
1961934,DepositProduct,Y,SB
5072925,DigitalOtherProduct,Y,DebitCard
5949610,DigitalOtherProduct,Y,EmailUpdated
2438325,AlternateIncomePro,N,HealthInsurance
6167320,DepositProduct,Y,FixedDeposit
5913090,RecommendedProduct,N,CA
4405866,undefined,Y,undefined
1175633,DepositProduct,Y,CA
832572,AdvanceProduct,Y,OverDraftOLCC
4130565,DigitalOtherProduc,N,NetBanking
1251263,RecommendedProduct,Y,HealthInsurance
4874782,AdvanceProduct,Y,JewelLoan
3021020,AlternateIncomeProduct,Y,HealthInsurance
2061204,DepositProduct,N,SB
2719830,RecommendedProduct,N,GeneralInsurance
5148617,DepositProduct,Y,SB
5837794,AdvanceProduct,Y,TermLoan
2068566,RecommendedProduct,N,HealthInsurance
6266166,DepositProduct,Y,SB
3724924,AdvanceProduct,Y,JewelLoan
