CustomerNo ,AVGCREDIT,TOTALCREDIT,AVGDEBIT,TOTALDEBIT
0,318729.36,4.0,-351959.58,-71009.182
1,318729.36,4.0,-168.13,-4223515.01
2,318729.36,32038.182,-1565221.82,-4223515.01
3,318729.36,4.0,0.0,-4223515.01
4,2669.85,3824752.28,-1565221.82,0.0
5,318729.36,32038.182,0.0,-71009.182
6,2669.85,3824752.28,-5917.43,-2017.6
7,1564684.0,3824752.28,-351959.58,-2017.6
8,1564684.0,32038.182,-1565221.82,-4223515.01
9,2669.85,3824752.28,-1565221.82,0.0
10,1564684.0,3824752.28,-351959.58,-2017.6
11,318729.36,4.0,-168.13,-4223515.01
12,318729.36,4.0,-351959.58,-1565221.82
13,1564684.0,3824752.28,-168.13,0.0
14,0.33,45.0,-1565221.82,-4223515.01
15,0.33,3824752.28,0.0,-71009.182
16,0.33,45.0,-1565221.82,-1565221.82
17,1564684.0,3824752.28,-351959.58,-2017.6
18,1564684.0,3824752.28,-351959.58,-2017.6
19,1564684.0,45.0,-5917.43,-71009.182
20,1564684.0,3824752.28,-351959.58,-2017.6
21,1564684.0,32038.182,0.0,-71009.182
22,318729.36,-130435.15,-1565221.82,-2017.6
23,1564684.0,32038.182,-1565221.82,-4223515.01
24,0.33,4.0,-5917.43,-71009.182
25,318729.36,32038.182,0.0,-71009.182
26,0.33,45.0,0.0,-4223515.01
27,1564684.0,-130435.15,-1565221.82,-4223515.01
28,318729.36,4.0,-168.13,-1565221.82
29,2669.85,3824752.28,-1565221.82,0.0
30,3.75,32038.182,-1565221.82,-4223515.01
31,1564684.0,32038.182,-5917.43,-4223515.01
32,318729.36,32038.182,0.0,-71009.182
33,318729.36,45.0,-168.13,-71009.182
34,0.33,3824752.28,0.0,-71009.182
35,318729.36,45.0,-168.13,-71009.182
36,318729.36,32038.182,-1565221.82,-4223515.01
37,318729.36,32038.182,0.0,-71009.182
38,1564684.0,3824752.28,-1565221.82,-1565221.82
39,318729.36,4.0,-351959.58,-1565221.82
40,2669.85,32038.182,-168.13,-1565221.82
41,2669.85,4.0,-1565221.82,-71009.182
42,318729.36,45.0,0.0,-1565221.82
43,0.33,45.0,-1565221.82,-1565221.82
44,318729.36,4.0,-168.13,-1565221.82
45,318729.36,4.0,-351959.58,-1565221.82
46,3.75,32038.182,-5917.43,-2017.6
47,0.33,-130435.15,-168.13,-4223515.01
48,3.75,32038.182,-1565221.82,-71009.182
49,2669.85,4.0,-351959.58,-1565221.82
50,318729.36,32038.182,-351959.58,-4223515.01
51,2669.85,3824752.28,-1565221.82,0.0
52,1564684.0,45.0,-5917.43,-71009.182
53,0.33,4.0,0.0,-4223515.01
54,3.75,32038.182,-1565221.82,-71009.182
55,0.33,3824752.28,0.0,-4223515.01
56,318729.36,4.0,-351959.58,-1565221.82
57,3.75,32038.182,-5917.43,-1565221.82
58,318729.36,32038.182,0.0,-2017.6
59,3.75,32038.182,-5917.43,-1565221.82
60,0.33,3824752.28,0.0,0.0
61,0.33,3824752.28,0.0,-2017.6
62,318729.36,3824752.28,-1565221.82,0.0
63,0.33,3824752.28,0.0,-2017.6
64,3.75,32038.182,-5917.43,-1565221.82
65,2669.85,3824752.28,-1565221.82,0.0
66,1564684.0,45.0,-5917.43,-71009.182
67,0.33,4.0,-1565221.82,0.0
68,1564684.0,3824752.28,-351959.58,-2017.6
69,0.33,3824752.28,0.0,-2017.6
70,1564684.0,45.0,-5917.43,-71009.182
71,318729.36,32038.182,0.0,-71009.182
72,1564684.0,3824752.28,-168.13,-2017.6
73,318729.36,4.0,-168.13,-2017.6
74,1564684.0,3824752.28,-351959.58,-2017.6
75,0.33,45.0,-1565221.82,-1565221.82
76,3.75,45.0,-168.13,-71009.182
77,0.33,45.0,-1565221.82,-4223515.01
78,3.75,32038.182,0.0,-71009.182
79,0.33,-130435.15,-168.13,-4223515.01
80,3.75,45.0,-168.13,-71009.182
81,2669.85,45.0,-351959.58,-4223515.01
82,0.33,-130435.15,-168.13,-4223515.01
83,318729.36,45.0,-351959.58,-4223515.01
84,318729.36,45.0,-168.13,-71009.182
85,3.75,45.0,-168.13,-71009.182
86,318729.36,32038.182,-5917.43,-4223515.01
87,0.33,3824752.28,0.0,-2017.6
88,318729.36,4.0,-351959.58,-1565221.82
89,1564684.0,3824752.28,-351959.58,-2017.6
90,3.75,32038.182,0.0,-71009.182
91,318729.36,3824752.28,-351959.58,-2017.6
92,0.33,3824752.28,0.0,-71009.182
93,318729.36,4.0,-351959.58,-1565221.82
94,3.75,32038.182,-5917.43,-71009.182
95,3.75,32038.182,-5917.43,-1565221.82
96,318729.36,45.0,-168.13,-1565221.82
97,0.33,32038.182,-5917.43,-1565221.82
98,1564684.0,32038.182,0.0,-71009.182
99,0.33,45.0,-1565221.82,-1565221.82
100,318729.36,4.0,-351959.58,0.0
101,3.75,32038.182,0.0,-71009.182
102,1564684.0,3824752.28,-351959.58,-2017.6
103,1564684.0,4.0,-168.13,-71009.182
104,3.75,32038.182,-5917.43,-2017.6
105,318729.36,3824752.28,-5917.43,-71009.182
106,318729.36,45.0,-168.13,0.0
107,318729.36,32038.182,0.0,-71009.182
108,3.75,32038.182,-5917.43,-2017.6
109,1564684.0,32038.182,-1565221.82,-4223515.01
110,2669.85,45.0,-351959.58,-4223515.01
111,1564684.0,32038.182,-1565221.82,-4223515.01
112,318729.36,45.0,-168.13,-71009.182
113,3.75,45.0,-168.13,-71009.182
114,1564684.0,3824752.28,-351959.58,-2017.6
115,2669.85,32038.182,-168.13,-1565221.82
116,1564684.0,45.0,-5917.43,-71009.182
